stock_code,corp_name,market,corp_code,modify_date
000040,KR모터스,KOSPI,00112378,20230331
000050,경방,KOSPI,00101628,20221208
000070,삼양홀딩스,KOSPI,00126937,20230109
000080,하이트진로,KOSPI,00150244,20221228
000100,유한양행,KOSPI,00145109,20230208
000120,CJ대한통운,KOSPI,00113410,20230105
000140,하이트진로홀딩스,KOSPI,00148993,20230102
000150,두산,KOSPI,00117212,20230214
000180,성창기업지주,KOSPI,00133335,20221229
000210,DL,KOSPI,00109693,20230502
000220,유유제약,KOSPI,00144818,20230302
000230,일동홀딩스,KOSPI,00146083,20221130
000240,한국앤컴퍼니,KOSPI,00160047,20230102
000250,삼천당제약,KOSDAQ,00128546,20221220
000270,기아,KOSPI,00106641,20230109
000300,대유플러스,KOSPI,00126089,20230215
000320,노루홀딩스,KOSPI,00113508,20221208
000370,한화손해보험,KOSPI,00135917,20230323
000390,삼화페인트공업,KOSPI,00129387,20221201
000400,롯데손해보험,KOSPI,00113562,20221229
000430,대원강업,KOSPI,00111847,20230102
000440,중앙에너비스,KOSDAQ,00149770,20221205
000480,시알홀딩스,KOSPI,00148984,20230731
000490,대동,KOSPI,00109286,20211213
000500,가온전선,KOSPI,00104768,20230324
000520,삼일제약,KOSPI,00128032,20220225
000540,흥국화재,KOSPI,00103176,20221226
000590,CS홀딩스,KOSPI,00149026,20221208
000640,동아쏘시오홀딩스,KOSPI,00116824,20220228
000650,천일고속,KOSPI,00151395,20221205
000660,SK하이닉스,KOSPI,00164779,20221213
000670,영풍,KOSPI,00141307,20230102
000680,LS네트웍스,KOSPI,00104698,20220330
000700,유수홀딩스,KOSPI,00163691,20211213
000720,현대건설,KOSPI,00164478,20230109
000760,이화산업,KOSPI,00145686,20221110
000810,삼성화재해상보험,KOSPI,00139214,20230104
000850,화천기공,KOSPI,00166519,20230215
000860,강남제비스코,KOSPI,00100939,20230214
000880,한화,KOSPI,00160588,20230503
000890,보해양조,KOSPI,00123541,20230109
000910,유니온,KOSPI,00144252,20211125
000950,전방,KOSPI,00147222,20221207
000970,한국주철관공업,KOSPI,00159573,20230327
000990,DB하이텍,KOSPI,00160843,20230330
001000,신라섬유,KOSDAQ,00135999,20230222
001020,페이퍼코리아,KOSPI,00134723,20211210
001040,CJ,KOSPI,00148540,20230109
001060,JW중외제약,KOSPI,00149947,20230512
001070,대한방직,KOSPI,00112970,20220204
001080,만호제강,KOSPI,00120872,20220607
001120,LX인터내셔널,KOSPI,00120076,20221202
001130,대한제분,KOSPI,00113243,20221128
001140,국보,KOSPI,00104519,20231018
001200,유진증권,KOSPI,00131054,20230110
001210,금호전기,KOSPI,00106395,20221129
001230,동국홀딩스,KOSPI,00114792,20230616
001250,GS글로벌,KOSPI,00138190,20220329
001260,남광토건,KOSPI,00107066,20220221
001270,부국증권,KOSPI,00123772,20221201
001290,상상인증권,KOSPI,00112059,20230330
001340,백광산업,KOSPI,00122472,20230324
001360,삼성제약,KOSPI,00126414,20231005
001380,SG글로벌,KOSPI,00152039,20221128
001390,KG케미칼,KOSPI,00101220,20230220
001420,태원물산,KOSPI,00154055,20221209
001430,세아베스틸지주,KOSPI,00106669,20230330
001440,대한전선,KOSPI,00113207,20230518
001450,현대해상,KOSPI,00164973,20230105
001460,BYC,KOSPI,00122579,20230810
001470,삼부토건,KOSPI,00125974,20230316
001500,현대차증권,KOSPI,00137997,20221209
001510,SK증권,KOSPI,00131850,20221228
001520,동양,KOSPI,00117337,20220225
001530,디아이동일,KOSPI,00118345,20230215
001540,안국약품,KOSDAQ,00139205,20220304
001550,조비,KOSPI,00148948,20221229
001560,제일연마,KOSPI,00148461,20221124
001570,금양,KOSPI,00106119,20230621
001620,케이비아이동국실업,KOSPI,00114765,20230303
001630,종근당홀딩스,KOSPI,00149354,20211214
001680,대상,KOSPI,00121941,20221206
001720,신영증권,KOSPI,00136721,20220304
001740,SK네트웍스,KOSPI,00131780,20230906
001750,한양증권,KOSPI,00162416,20221130
001770,SHD,KOSPI,00137809,20230130
001780,알루코,KOSPI,00117027,20221130
001790,대한제당,KOSPI,00113234,20230220
001800,오리온홀딩스,KOSPI,00117577,20230216
001810,무림SP,KOSDAQ,00121507,20211209
001820,삼화콘덴서공업,KOSPI,00129350,20211117
001840,이화공영,KOSDAQ,00145668,20221207
001880,DL건설,KOSPI,00128971,20221201
001940,KISCO홀딩스,KOSPI,00159740,20221229
002020,코오롱,KOSPI,00152862,20220404
002030,아세아,KOSPI,00138701,20221209
002070,비비안,KOSPI,00107677,20221207
002100,경농,KOSPI,00101433,20230221
002140,고려산업,KOSPI,00102751,20230131
002150,도화엔지니어링,KOSPI,00114552,20230327
002170,삼양통상,KOSPI,00127042,20230220
002200,한국수출포장공업,KOSPI,00158112,20230210
002210,동성제약,KOSPI,00116268,20221215
002220,한일철강,KOSPI,00163196,20221202
002230,피에스텍,KOSDAQ,00155638,20230202
002240,고려제강,KOSPI,00103006,20230215
002290,삼일기업공사,KOSDAQ,00127936,20221208
002310,아세아제지,KOSPI,00138729,20221221
002320,한진,KOSPI,00163512,20230427
002350,넥센타이어,KOSPI,00173874,20230104
002360,SH에너지화학,KOSPI,00136457,20221212
002380,케이씨씨,KOSPI,00105271,20230104
002390,한독,KOSPI,00161046,20221226
002410,범양건영,KOSPI,00122694,20230328
002420,세기상사,KOSPI,00133618,20221201
002450,삼익악기,KOSPI,00127857,20221129
002460,화성산업,KOSPI,00174527,20230203
002600,조흥,KOSPI,00149345,20230125
002620,제일파마홀딩스,KOSPI,00148443,20220222
002630,오리엔트바이오,KOSPI,00141626,20230524
002680,한탑,KOSDAQ,00140566,20221207
002690,동일제강,KOSPI,00118451,20230403
002700,신일전자,KOSPI,00173698,20230222
